size(cm),class(y)
9.5,Female
10.125,Male
10.41,Male
9.81,Female
11.05,Male
9.15,Female
9.45,Female
10.57,Male
9.71,Female
9.65,Female
9.82,Female
10.42,Male
10.19,Male
10.91,Male
10.55,Male
10.73,Male
10.02,Female
9.93,Female
10.3,Male
10.59,Male
10.15,Male
9.35,Female
9.2,Female
10.66,Male
9.62,Female
10.46,Male
10.29,Male
10.81,Male
10.45,Male
10.73,Male
10.04,Female
9.91,Female
10.4,Male
9.59,Female
10.16,Male
9.3,Female
9.21,Female
10.56,Male
9.6,Female
9.32,Male
